,0.01,0.02,0.04,0.08,0.1,0.2,0.4,0.8,1,2,4,8,16
10,,,,,0.454844205,0.534113315,0.508043143,0.626446207,0.496337329,0.568771623,0.521545101,0.23921008,0.062479757
20,0.557499412,0.546774097,0.686080563,0.698368132,0.533113925,0.360580476,0.637243325,0.244313647,0.228338137,0.606722618,0.681826195,0.339563493,0.424132244
40,0.211021202,0.128014191,0.571007285,0.685901484,0.190606732,0.647885209,0.195001046,0.196569226,0.25513929,0.72128027,0.193425697,0.200986649,0.514006167
80,0.151917937,0.062019735,0.10908886,0.138045404,0.132646754,0.492030378,0.107365834,0.269266667,,,,,
160,0.107605422,0.120430807,0.390550637,0.605584467,0.17647233,0.47229701,0.217810827,0.617110605,0.169939643,0.048667458,0.069480705,0.123661786,0.102824344
edges randomized for k=10,,,,,250,475,950,1900,2300,4750,9500,19000,38000
edges randomized for k=20,50,50,100,200,100,500,1000,2000,1000,5000,10000,20000,40000
edges randomized for k=40,100,100,200,400,200,1000,2000,4000,2000,10000,20000,40000,80000
edges randomized for k=80,200,200,400,800,400,2000,4000,8000,,,,,
edges randomized for k=160,400,400,800,1600,800,4000,8000,16000,8000,40000,80000,160000,320000
